R(kpc)   , V(km/s)  
0.001,204.2
0.05,209.55406
0.1,221.17062
0.15,235.59671
0.2,246.31863
0.25,251.17328
0.3,252.23865
0.35,251.3707
0.4,249.16048
0.45,246.26276
0.5,243.31323
0.55,240.47087
0.6,237.44099
0.65,234.32184
0.7,231.27351
0.75,228.22401
0.8,225.36021
0.85,222.84642
0.9,220.51955
0.95,218.56766
1,217.21397
1.05,216.18442
1.1,215.3904
1.15,214.79504
1.2,214.23282
1.25,213.62454
1.3,212.92415
1.35,212.1777
1.4,211.43652
1.45,210.7429
1.5,210.03438
1.55,209.29282
1.6,208.50002
1.65,207.64754
1.7,206.74559
1.75,205.82294
1.8,204.91537
1.85,204.04976
1.9,203.23418
1.95,202.45992
2,201.71246
2.05,200.98337
2.1,200.27583
2.15,199.60184
2.2,198.97377
2.25,198.39645
2.3,197.86472
2.35,197.36772
2.4,196.89691
2.45,196.45235
2.5,196.04378
2.55,195.68622
2.6,195.39339
2.65,195.17314
2.7,195.02711
2.75,194.9539
2.8,194.95294
2.85,195.02635
2.9,195.17769
2.95,195.40749
3,195.70827
3.05,196.06334
3.1,196.45151
3.15,196.85565
3.2,197.26961
3.25,197.69888
3.3,198.15526
3.35,198.64874
3.4,199.18213
3.45,199.75072
3.5,200.34615
3.55,200.96124
3.6,201.59219
3.65,202.23717
3.7,202.89224
3.75,203.54716
3.8,204.18463
3.85,204.78485
3.9,205.33382
3.95,205.83002
4,206.28485
4.05,206.71587
4.1,207.13702
4.15,207.55231
4.2,207.95592
4.25,208.33818
4.3,208.69231
4.35,209.01807
4.4,209.32011
4.45,209.60336
4.5,209.86864
4.55,210.11095
4.6,210.32149
4.65,210.49086
4.7,210.61223
4.75,210.68282
4.8,210.70483
4.85,210.68671
4.9,210.64377
4.95,210.59598
5,210.56136
5.05,210.54816
5.1,210.55151
5.15,210.55832
5.2,210.55884
5.25,210.55833
5.3,210.58018
5.35,210.65723
5.4,210.81599
5.45,211.06339
5.5,211.38469
5.55,211.75313
5.6,212.14372
5.65,212.54259
5.7,212.94756
5.75,213.36166
5.8,213.785
5.85,214.20999
5.9,214.62212
5.95,215.0049
6,215.34491
6.05,215.63364
6.1,215.86594
6.15,216.03709
6.2,216.14056
6.25,216.16806
6.3,216.11246
6.35,215.97234
6.4,215.75539
6.45,215.47762
6.5,215.15871
6.55,214.81635
6.6,214.46307
6.65,214.10612
6.7,213.74907
6.75,213.39326
6.8,213.03889
6.85,212.68547
6.9,212.33202
6.95,211.9772
7,211.61903
7.05,211.25443
7.1,210.87852
7.15,210.48427
7.2,210.06323
7.25,209.60817
7.3,209.11646
7.35,208.592
7.4,208.04398
7.45,207.48318
7.5,206.9182
7.55,206.35361
7.6,205.79041
7.65,205.2276
7.7,204.66339
7.75,204.0956
7.8,203.52136
7.85,202.93652
7.9,202.33543
7.95,201.71245
8,201.06584
8.05,200.40317
8.1,199.74403
8.15,199.11653
8.2,198.54707
8.25,198.04913
8.3,197.61836
8.35,197.23743
8.4,196.88638
8.45,196.55196
8.5,196.23064
8.55,195.92664
8.6,195.64781
8.65,195.40285
8.7,195.19952
8.75,195.04321
8.8,194.93494
8.85,194.87061
8.9,194.84253
8.95,194.84325
9,194.86897
9.05,194.92102
9.1,195.00427
9.15,195.12413
9.2,195.28387
9.25,195.48355
9.3,195.72025
9.35,195.98843
9.4,196.2804
9.45,196.58739
9.5,196.90224
9.55,197.22273
9.6,197.55354
9.65,197.90477
9.7,198.28781
9.75,198.71063
9.8,199.17548
9.85,199.67972
9.9,200.21817
9.95,200.7849
10,201.37402
10.05,201.98041
10.1,202.60051
10.15,203.23317
10.2,203.8799
10.25,204.54446
10.3,205.2326
10.35,205.95171
10.4,206.70972
10.45,207.51273
10.5,208.36182
10.55,209.25136
10.6,210.1694
10.65,211.09958
10.7,212.02264
10.75,212.91817
10.8,213.76776
10.85,214.55965
10.9,215.29184
10.95,215.97079
11,216.60608
11.05,217.20392
11.1,217.76357
11.15,218.2782
11.2,218.73973
11.25,219.14424
11.3,219.4948
11.35,219.80022
11.4,220.07152
11.45,220.31903
11.5,220.55128
11.55,220.77489
11.6,220.99445
11.65,221.21242
11.7,221.42889
11.75,221.64175
11.8,221.8465
11.85,222.03633
11.9,222.20389
11.95,222.34453
12,222.46027
12.05,222.56107
12.1,222.66142
12.15,222.77322
12.2,222.899
12.25,223.0298
12.3,223.14883
12.35,223.23804
12.4,223.28368
12.45,223.27895
12.5,223.22462
12.55,223.12936
12.6,223.00938
12.65,222.88548
12.7,222.7771
12.75,222.69633
12.8,222.6452
12.85,222.61797
12.9,222.60593
12.95,222.60156
13,222.60033
13.05,222.60007
13.1,222.60001
13.15,222.60001
13.2,222.60001
13.25,222.60002
13.3,222.60011
13.35,222.60059
13.4,222.60245
13.45,222.60835
13.5,222.62361
13.55,222.65637
13.6,222.71611
13.65,222.81024
13.7,222.9408
13.75,223.10344
13.8,223.28955
13.85,223.49004
13.9,223.69827
13.95,223.91132
14,224.12978
14.05,224.3577
14.1,224.60193
14.15,224.87022
14.2,225.16743
14.25,225.49104
14.3,225.82973
14.35,226.16702
14.4,226.48898
14.45,226.79134
14.5,227.08122
14.55,227.37253
14.6,227.67743
14.65,227.9998
14.7,228.33385
14.75,228.66795
14.8,228.99042
14.85,229.29355
14.9,229.57466
14.95,229.83481
15,230.07732
15.05,230.30688
15.1,230.52943
15.15,230.75227
15.2,230.98454
15.25,231.23654
15.3,231.51657
15.35,231.82576
15.4,232.15367
15.45,232.47894
15.5,232.77652
15.55,233.02803
15.6,233.22888
15.65,233.38763
15.7,233.51868
15.75,233.63359
15.8,233.73619
15.85,233.82274
15.9,233.8855
15.95,233.91634
16,233.90904
16.05,233.86098
16.1,233.77501
16.15,233.66125
16.2,233.53589
16.25,233.41579
16.3,233.31071
16.35,233.21825
16.4,233.12469
16.45,233.01266
16.5,232.86986
16.55,232.69446
16.6,232.4939
16.65,232.27953
16.7,232.061
16.75,231.8437
16.8,231.62914
16.85,231.41672
16.9,231.20549
16.95,230.99471
17,230.78392
17.05,230.57271
17.1,230.36031
17.15,230.14513
17.2,229.92381
17.25,229.6904
17.3,229.43588
17.35,229.14941
17.4,228.82089
17.45,228.44366
17.5,228.01628
17.55,227.54327
17.6,227.03639
17.65,226.51558
17.7,226.00723
17.75,225.537
17.8,225.11954
17.85,224.75145
17.9,224.41273
17.95,224.07671
18,223.72171
18.05,223.33813
18.1,222.92763
18.15,222.49763
18.2,222.05569
18.25,221.60677
18.3,221.1535
18.35,220.69818
18.4,220.24437
18.45,219.7971
18.5,219.36133
18.55,218.93929
18.6,218.52879
18.65,218.12363
18.7,217.71613
18.75,217.30057
18.8,216.87514
18.85,216.44199
18.9,216.00601
18.95,215.57364
19,215.15152
19.05,214.74477
19.1,214.35435
19.15,213.97501
19.2,213.5956
19.25,213.20308
19.3,212.78777
19.35,212.34731
19.4,211.88669
19.45,211.41554
19.5,210.94473
19.55,210.48427
19.6,210.0426
19.65,209.62555
19.7,209.23508
19.75,208.86868
19.8,208.52003
19.85,208.18031
19.9,207.83949
19.95,207.48753
20,207.11626
20.05,206.72192
20.1,206.30704
20.15,205.87949
20.2,205.4491
20.25,205.02339
20.3,204.60522
20.35,204.19319
20.4,203.78383
20.45,203.37411
20.55,202.96272
20.5,202.55
